Module,pre_proc,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc1,post_proc1,post_proc1,post_proc1,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Parameter,xc1,pt_dose,Bmax_act,Bsur_act,Time_gox,tox_gn,n_dose,n_energy,xj_nch,Bmax_nch,Bsur_nch,Lg,Vt0,Vts,Ion,Ioffs,St0,Sts,Gms,Gds,Vdibl,Ronoff,Icrit,Av,dSt
Unit,,,cm**-3,cm**-3,,um,,,um,cm**-3,cm**-3,,V,V,A/um,A/um,mV/dec,mV/dec,S/um,S/um,V,A/A,A/um,V/V,%
Parameter Type,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam
Wafer 27,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,190,0.322236,1.72E+17,2.94E+16,2,8.03E-01,7.90E-01,2.17E-04,2.85E-14,1.09E+02,1.08E+02,7.32E-05,2.07E-06,1.28E-02,7.59E+09,8.57E-08,3.53E+01,-9.19E-01
Wafer 35,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,220,0.360656,1.64E+17,3.16E+16,2,8.35E-01,8.15E-01,1.90E-04,3.06E-14,1.07E+02,1.06E+02,5.86E-05,1.10E-05,2.00E-02,6.20E+09,8.98E-08,5.35E+00,-8.19E-01
Wafer 43,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,90,0.31078,1.56E+17,2.77E+16,2,8.07E-01,7.91E-01,2.32E-04,2.86E-14,1.09E+02,1.08E+02,7.71E-05,2.58E-06,1.61E-02,8.10E+09,9.53E-08,2.99E+01,-5.62E-01
Wafer 51,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,130,0.319409,1.56E+17,2.68E+16,2,8.07E-01,7.91E-01,2.31E-04,2.98E-14,1.09E+02,1.08E+02,7.70E-05,2.75E-06,1.62E-02,7.77E+09,9.44E-08,2.80E+01,-5.74E-01
Wafer 59,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,160,0.337279,1.55E+17,2.70E+16,2,8.06E-01,7.90E-01,2.30E-04,3.16E-14,1.09E+02,1.08E+02,7.68E-05,3.02E-06,1.62E-02,7.28E+09,9.29E-08,2.54E+01,-5.63E-01
Wafer 67,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,190,0.363509,1.57E+17,2.83E+16,2,8.06E-01,7.90E-01,2.29E-04,3.66E-14,1.09E+02,1.08E+02,7.64E-05,3.08E-06,1.62E-02,6.26E+09,9.21E-08,2.48E+01,-5.88E-01
Wafer 75,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,220,0.392961,1.49E+17,2.88E+16,2,8.40E-01,8.20E-01,2.48E-04,2.97E-14,1.06E+02,1.06E+02,8.77E-05,3.06E-06,2.07E-02,8.36E+09,1.11E-07,2.87E+01,-6.59E-01
Wafer 83,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,90,0.321186,1.48E+17,2.58E+16,2,8.12E-01,7.93E-01,2.49E-04,2.97E-14,1.08E+02,1.08E+02,7.90E-05,6.45E-06,1.94E-02,8.37E+09,1.05E-07,1.22E+01,-3.74E-01
Wafer 91,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,130,0.336026,1.44E+17,2.65E+16,2,8.15E-01,7.95E-01,2.52E-04,3.21E-14,1.08E+02,1.08E+02,7.91E-05,7.23E-06,2.07E-02,7.85E+09,1.11E-07,1.09E+01,-3.28E-01
Wafer 99,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,160,0.363222,1.46E+17,2.58E+16,2,8.10E-01,7.91E-01,2.46E-04,3.15E-14,1.08E+02,1.08E+02,7.61E-05,1.27E-05,1.87E-02,7.80E+09,1.00E-07,5.98E+00,-3.85E-01
