Module,pre_proc,vt_impl11,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc,post_proc,post_proc,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Parameter,xc1,pt_eng,pt_dose,Bmax_act,Bsur_act,Time_gox,tox_gn,n_energy,xj_nch,Bmax_nch,Bsur_nch,Lg,Vt0,Vts,Ion,Ioffs,St0,Sts,Gms,Gds,Vdibl,Ronoff,Icrit,Av,dSt
Unit,,,,cm**-3,cm**-3,,um,,um,cm**-3,cm**-3,,V,V,A/um,A/um,mV/dec,mV/dec,S/um,S/um,V,A/A,A/um,V/V,%
Parameter Type,GlobalParamSplit,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam
Wafer 171,3.2,600,3.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.357312,1.45E+17,2.64E+16,2,8.14E-01,7.94E-01,2.53E-04,3.70E-14,1.08E+02,1.08E+02,7.96E-05,1.05E-05,2.01E-02,6.84E+09,1.11E-07,7.61E+00,-3.31E-01
Wafer 163,3.2,600,1.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.358043,1.45E+17,2.64E+16,2,8.14E-01,7.94E-01,2.54E-04,4.14E-14,1.08E+02,1.08E+02,7.94E-05,1.19E-05,2.01E-02,6.13E+09,1.11E-07,6.69E+00,-3.39E-01
Wafer 155,3.2,450,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.347771,2.75E+17,2.65E+16,2,8.15E-01,7.94E-01,2.51E-04,2.96E-14,1.08E+02,1.08E+02,8.00E-05,6.41E-06,2.02E-02,8.47E+09,1.11E-07,1.25E+01,-3.05E-01
Wafer 147,3.2,450,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.349988,2.15E+17,2.65E+16,2,8.14E-01,7.94E-01,2.51E-04,2.92E-14,1.08E+02,1.08E+02,7.99E-05,6.61E-06,2.02E-02,8.60E+09,1.11E-07,1.21E+01,-3.13E-01
Wafer 139,3.2,450,5.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.352287,1.54E+17,2.65E+16,2,8.14E-01,7.94E-01,2.52E-04,3.50E-14,1.08E+02,1.08E+02,7.98E-05,6.95E-06,2.02E-02,7.18E+09,1.11E-07,1.15E+01,-3.21E-01
Wafer 131,3.2,450,3.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.35467,1.45E+17,2.65E+16,2,8.14E-01,7.94E-01,2.52E-04,3.48E-14,1.08E+02,1.08E+02,7.97E-05,7.58E-06,2.01E-02,7.24E+09,1.11E-07,1.05E+01,-3.29E-01
Wafer 123,3.2,450,1.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.357305,1.43E+17,2.65E+16,2,8.15E-01,7.94E-01,2.54E-04,3.77E-14,1.08E+02,1.08E+02,7.84E-05,1.39E-05,2.06E-02,6.74E+09,1.11E-07,5.65E+00,-3.53E-01
Wafer 115,3.2,300,9.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.32256,2.91E+17,2.66E+16,2,8.16E-01,7.96E-01,2.50E-04,3.22E-14,1.08E+02,1.08E+02,8.07E-05,5.28E-06,2.05E-02,7.76E+09,1.11E-07,1.53E+01,-2.36E-01
Wafer 107,3.2,300,7.00E+12,3.76E+17,3.90E+16,30,0.019975,130,0.322701,2.27E+17,2.66E+16,2,8.16E-01,7.95E-01,2.50E-04,3.04E-14,1.08E+02,1.08E+02,8.06E-05,5.40E-06,2.04E-02,8.23E+09,1.11E-07,1.49E+01,-2.59E-01
Wafer 99,3.2,300,5.00E+12,3.76E+17,3.90E+16,30,0.019973,130,0.325636,1.63E+17,2.71E+16,2,8.16E-01,7.95E-01,2.50E-04,2.80E-14,1.08E+02,1.08E+02,8.06E-05,5.50E-06,2.06E-02,8.94E+09,1.10E-07,1.47E+01,-3.02E-01
